,X,name,interests,connections,ages_ranges,genders,behavior,scholarities,languages,family_statuses,relationship_statuses,life_events,geo_locations,household_composition,audience,location_total,total_likes_location_interest
1,8,Test Issues,Politics,Manuela Carmena,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,5200,14000,53000
2,9,Test Issues,Politics,Ada Colau,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,3800,8500,53000
3,11,Test Issues,Politics,Esperanza Aguirre,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,1100,4000,53000
4,12,Test Issues,Politics,Ines Arrimadas,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,800,2300,53000
5,16,Test Issues,Transport,Manuela Carmena,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2200,14000,39000
6,17,Test Issues,Transport,Ada Colau,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2200,8500,39000
7,19,Test Issues,Transport,Esperanza Aguirre,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,610,4000,39000
8,20,Test Issues,Transport,Ines Arrimadas,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,470,2300,39000
9,24,Test Issues,Health,Manuela Carmena,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2400,14000,47000
10,25,Test Issues,Health,Ada Colau,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,1700,8500,47000
11,27,Test Issues,Health,Esperanza Aguirre,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,610,4000,47000
12,28,Test Issues,Health,Ines Arrimadas,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,470,2300,47000
13,32,Test Issues,Sustaintability,Manuela Carmena,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2800,14000,29000
14,33,Test Issues,Sustaintability,Ada Colau,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2400,8500,29000
15,35,Test Issues,Sustaintability,Esperanza Aguirre,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,320,4000,29000
16,36,Test Issues,Sustaintability,Ines Arrimadas,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,90,2300,29000
17,40,Test Issues,Security,Manuela Carmena,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,2700,14000,37000
18,41,Test Issues,Security,Ada Colau,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,1600,8500,37000
19,43,Test Issues,Security,Esperanza Aguirre,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,1400,4000,37000
20,44,Test Issues,Security,Ines Arrimadas,16-80,both,NA,NA,NA,NA,NA,NA,Medialab Prado,NA,430,2300,37000
